tp,fp,fn,tn,gt_px,pred_px,gt_empty,Dice,IoU,Precision,Recall,Specificity,VS,HD95,ASSD,NSD,patient,slice,patient_dice,fold,model
0.0,0.0,0.0,147456.0,0.0,0.0,1,1.0,1.0,1.0,1.0,0.9999999999993219,1.0,,,,53,0,0.34294871794871795,0,unet
0.0,0.0,0.0,147456.0,0.0,0.0,1,1.0,1.0,1.0,1.0,0.9999999999993219,1.0,,,,53,1,0.34294871794871795,0,unet
0.0,0.0,0.0,147456.0,0.0,0.0,1,1.0,1.0,1.0,1.0,0.9999999999993219,1.0,,,,53,2,0.34294871794871795,0,unet
0.0,0.0,0.0,147456.0,0.0,0.0,1,1.0,1.0,1.0,1.0,0.9999999999993219,1.0,,,,53,3,0.34294871794871795,0,unet
0.0,0.0,0.0,147456.0,0.0,0.0,1,1.0,1.0,1.0,1.0,0.9999999999993219,1.0,,,,53,4,0.34294871794871795,0,unet
0.0,0.0,0.0,147456.0,0.0,0.0,1,1.0,1.0,1.0,1.0,0.9999999999993219,1.0,,,,53,5,0.34294871794871795,0,unet
0.0,0.0,0.0,147456.0,0.0,0.0,1,1.0,1.0,1.0,1.0,0.9999999999993219,1.0,,,,53,6,0.34294871794871795,0,unet
0.0,0.0,0.0,147456.0,0.0,0.0,1,1.0,1.0,1.0,1.0,0.9999999999993219,1.0,,,,53,7,0.34294871794871795,0,unet
0.0,0.0,0.0,147456.0,0.0,0.0,1,1.0,1.0,1.0,1.0,0.9999999999993219,1.0,,,,53,8,0.34294871794871795,0,unet
0.0,0.0,0.0,147456.0,0.0,0.0,1,1.0,1.0,1.0,1.0,0.9999999999993219,1.0,,,,53,9,0.34294871794871795,0,unet
0.0,0.0,0.0,147456.0,0.0,0.0,1,1.0,1.0,1.0,1.0,0.9999999999993219,1.0,,,,53,10,0.34294871794871795,0,unet
0.0,1224.0,0.0,146232.0,0.0,1224.0,1,0.0,0.0,0.0,1.0,0.9916992187493274,0.0,,,,53,11,0.34294871794871795,0,unet
0.0,858.0,0.0,146598.0,0.0,858.0,1,0.0,0.0,0.0,1.0,0.9941813151034924,0.0,,,,53,12,0.34294871794871795,0,unet
0.0,612.0,0.0,146844.0,0.0,612.0,1,0.0,0.0,0.0,1.0,0.9958496093743247,0.0,,,,53,13,0.34294871794871795,0,unet
0.0,793.0,0.0,146663.0,0.0,793.0,1,0.0,0.0,0.0,1.0,0.9946221245652977,0.0,,,,53,14,0.34294871794871795,0,unet
0.0,629.0,0.0,146827.0,0.0,629.0,1,0.0,0.0,0.0,1.0,0.9957343207458526,0.0,,,,53,15,0.34294871794871795,0,unet
0.0,0.0,0.0,147456.0,0.0,0.0,1,1.0,1.0,1.0,1.0,0.9999999999993219,1.0,,,,53,16,0.34294871794871795,0,unet
0.0,126.0,71.0,147259.0,71.0,126.0,0,0.0,0.0,0.0,0.0,0.9991450961760022,0.7208121828828364,108.68444145329804,106.35764165610628,0.0,53,17,0.34294871794871795,0,unet
54.0,66.0,312.0,147024.0,366.0,120.0,0,0.22222222217649748,0.12499999997106481,0.44999999962500004,0.14754098356624562,0.9995512951247538,0.49382716059797793,100.91895857594272,28.74224757430623,0.3058823529411765,53,18,0.34294871794871795,0,unet
0.0,101.0,60.0,147295.0,60.0,101.0,0,0.0,0.0,0.0,0.0,0.9993147710921604,0.7453416150650052,49.49475399871567,44.56746709993976,0.0,53,19,0.34294871794871795,0,unet
0.0,279.0,0.0,147177.0,0.0,279.0,1,0.0,0.0,0.0,1.0,0.9981079101555731,0.0,,,,53,20,0.34294871794871795,0,unet
233.0,499.0,61.0,146663.0,294.0,732.0,0,0.4541910330941334,0.29382093312814367,0.31830601088547733,0.7925170065331574,0.9966091789993363,0.5730994152462867,82.39409796339731,21.30883850656541,0.5484949832775919,53,21,0.34294871794871795,0,unet
672.0,794.0,381.0,145609.0,1053.0,1466.0,0,0.5335450575413441,0.3638332430772153,0.4583901773220743,0.6381766381160325,0.9945766138665229,0.8360460500263578,73.04663161867656,17.816766714162878,0.46096654275092935,53,22,0.34294871794871795,0,unet
640.0,615.0,181.0,146020.0,821.0,1255.0,0,0.6165703275232867,0.4456824512224455,0.5099601593219155,0.7795371497223463,0.99580591263955,0.7909441233241357,70.71054029008741,16.920202610826202,0.6061855670103092,53,23,0.34294871794871795,0,unet
