gt_px,pointing_hit,energy_in_gt,cam_iou,cam_dice,saliency_ratio,model,patient,slice,layer,method,deletion_auc,dice_drop
4730.0,0.0,0.3657285273075104,0.20361351139009645,0.3383370317186551,17.3990421295166,hemofusion,75,21,bottleneck (1/32),gradcam,,
4730.0,1.0,0.09764831513166428,0.35663480773465583,0.5257639059551685,3.2653582096099854,hemofusion,75,21,bottleneck (1/32),gradcam_pp,0.053193817929195586,0.953553908776794
4730.0,1.0,0.3209265470504761,0.5594968553452082,0.7175350863036638,14.260368347167969,hemofusion,75,21,bottleneck (1/32),layercam,,
4730.0,1.0,0.8591287136077881,0.6299112801000636,0.7729393468108179,184.02471923828125,hemofusion,75,21,decoder 1/16,gradcam,,
4730.0,1.0,0.26579803228378296,0.6693716188084283,0.8019444098207629,10.923908233642578,hemofusion,75,21,decoder 1/16,gradcam_pp,,
4730.0,1.0,0.7239043712615967,0.7137214137199299,0.8329491689908614,79.11575317382812,hemofusion,75,21,decoder 1/16,layercam,,
4730.0,1.0,0.495939165353775,0.5637808448336182,0.7210484086644543,29.68842887878418,hemofusion,75,21,decoder 1/4,gradcam,,
4730.0,1.0,0.23815473914146423,0.5650992685463634,0.7221257844829455,9.432662963867188,hemofusion,75,21,decoder 1/4,gradcam_pp,,
4730.0,1.0,0.9113398790359497,0.5345699831354668,0.6967032967023397,310.1639709472656,hemofusion,75,21,decoder 1/4,layercam,,
551.0,0.0,0.11612789332866669,0.13422459892976352,0.2366808109371208,35.029319763183594,hemofusion,53,24,bottleneck (1/32),gradcam,,
551.0,0.0,0.01912367157638073,0.11048726689370265,0.19898880462224813,5.198068618774414,hemofusion,53,24,bottleneck (1/32),gradcam_pp,0.0419718309855214,0.8394366197104279
551.0,0.0,0.07531778514385223,0.12643414410250933,0.22448563862248017,21.716501235961914,hemofusion,53,24,bottleneck (1/32),layercam,,
551.0,1.0,0.3245551288127899,0.22615384615036685,0.36888331241695255,128.1097869873047,hemofusion,53,24,decoder 1/16,gradcam,,
551.0,1.0,0.04236210137605667,0.305895439373683,0.4684838160096382,11.793997764587402,hemofusion,53,24,decoder 1/16,gradcam_pp,,
551.0,1.0,0.2505444586277008,0.3088235294072232,0.4719101123542482,89.12984466552734,hemofusion,53,24,decoder 1/16,layercam,,
551.0,1.0,0.23761209845542908,0.39201451904914675,0.5632333767853555,83.09535217285156,hemofusion,53,24,decoder 1/4,gradcam,,
551.0,1.0,0.06945168972015381,0.4047186932775913,0.5762273901734337,19.898883819580078,hemofusion,53,24,decoder 1/4,gradcam_pp,,
551.0,1.0,0.7331603169441223,0.43594306049046366,0.607187112755797,732.5325927734375,hemofusion,53,24,decoder 1/4,layercam,,
240.0,0.0,0.09169886261224747,0.1851851851837563,0.3124999999979655,61.926639556884766,hemofusion,74,21,bottleneck (1/32),gradcam,,
240.0,0.0,0.006886283401399851,0.057747834456068944,0.10919017288419201,4.253335475921631,hemofusion,74,21,bottleneck (1/32),gradcam_pp,0.03946784922307167,0.7893569844614333
240.0,0.0,0.04913691431283951,0.0841219768661615,0.15518913675992504,31.698122024536133,hemofusion,74,21,bottleneck (1/32),layercam,,
240.0,1.0,0.26911461353302,0.347408829167996,0.5156695156621699,225.85533142089844,hemofusion,74,21,decoder 1/16,gradcam,,
240.0,1.0,0.02650856040418148,0.24078624078328273,0.38811881187734537,16.703123092651367,hemofusion,74,21,decoder 1/16,gradcam_pp,,
240.0,1.0,0.1667938530445099,0.2695417789721086,0.4246284501016494,122.79216003417969,hemofusion,74,21,decoder 1/16,layercam,,
240.0,1.0,0.03167889639735222,0.5933609958260015,0.744791666647271,20.06754493713379,hemofusion,74,21,decoder 1/4,gradcam,,
240.0,1.0,0.1605302095413208,0.6016597510123792,0.7512953367681011,117.29907989501953,hemofusion,74,21,decoder 1/4,gradcam_pp,,
240.0,1.0,0.6778926253318787,0.6289062499754333,0.7721822541781251,1290.9051513671875,hemofusion,74,21,decoder 1/4,layercam,,
131.0,0.0,0.0,0.0,0.0,0.0,hemofusion,69,16,bottleneck (1/32),gradcam,,
131.0,0.0,0.0024302545934915543,0.010263240363514366,0.020317952694827203,2.739767074584961,hemofusion,69,16,bottleneck (1/32),gradcam_pp,0.03820895522274004,0.7641791044548006
131.0,0.0,0.03894178941845894,0.08675496688684269,0.15965874466691252,45.569175720214844,hemofusion,69,16,bottleneck (1/32),layercam,,
131.0,0.0,0.13989639282226562,0.23217922606451774,0.37685950412600233,182.91941833496094,hemofusion,69,16,decoder 1/16,gradcam,,
131.0,0.0,0.01190146990120411,0.19304347825751228,0.3236151603451368,13.54582405090332,hemofusion,69,16,decoder 1/16,gradcam_pp,,
131.0,0.0,0.12258831411600113,0.21193415637424004,0.34974533106367156,157.12664794921875,hemofusion,69,16,decoder 1/16,layercam,,
131.0,1.0,0.20315417647361755,0.7134146341028406,0.8327402134934968,286.71795654296875,hemofusion,69,16,decoder 1/4,gradcam,,
131.0,1.0,0.032316043972969055,0.7272727272286501,0.8421052631283472,37.556888580322266,hemofusion,69,16,decoder 1/4,gradcam_pp,,
131.0,1.0,0.5477423071861267,0.6499999999638889,0.78787878785226,1362.03369140625,hemofusion,69,16,decoder 1/4,layercam,,
